name,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,plus_minus
Karl-Anthony Towns,29:34,5,15,.333,1,7,.143,0,2,.000,1,9,10,2,0,0,4,2,11,-11
Anthony Edwards,27:41,6,15,.400,1,4,.250,5,6,.833,0,2,2,5,2,1,1,4,18,-12
Rudy Gobert,25:43,3,5,.600,0,0,,2,4,.500,2,11,13,0,0,2,1,3,8,-28
Mike Conley,24:57,3,5,.600,2,3,.667,0,0,,0,4,4,3,0,0,0,0,8,-18
Nickeil Alexander-Walker,23:30,2,6,.333,2,4,.500,1,2,.500,0,1,1,0,0,1,0,1,7,-6
Kyle Anderson,25:57,5,11,.455,1,3,.333,0,0,,0,1,1,3,2,1,0,1,11,-15
Jaylen Nowell,21:54,4,10,.400,3,6,.500,1,2,.500,1,0,1,2,0,0,1,1,12,-13
Taurean Prince,21:17,0,4,.000,0,3,.000,0,0,,0,0,0,2,0,0,0,1,0,-14
Austin Rivers,16:12,1,2,.500,1,2,.500,0,0,,0,3,3,0,0,0,1,0,3,-12
Jordan McLaughlin,10:19,0,3,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,2,0,-8
Josh Minott,6:19,0,1,.000,0,1,.000,0,0,,0,0,0,0,2,1,1,1,0,-4
Nathan Knight,4:33,1,4,.250,0,2,.000,0,0,,1,0,1,0,0,0,1,0,2,-5
Wendell Moore Jr.,2:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,+1
Karl-Anthony Towns,9:27,1,5,.200,0,2,.000,0,0,,1,0,1,0,0,0,1,1,2,-3
Anthony Edwards,9:27,2,5,.400,1,1,1.000,0,0,,0,2,2,3,0,0,0,1,5,-3
Rudy Gobert,7:35,1,1,1.000,0,0,,0,0,,1,3,4,0,0,0,0,1,2,-6
Mike Conley,8:18,2,2,1.000,1,1,1.000,0,0,,0,2,2,2,0,0,0,0,5,+1
Nickeil Alexander-Walker,8:54,1,3,.333,1,1,1.000,0,0,,0,1,1,0,0,1,0,1,3,-4
Kyle Anderson,6:58,3,5,.600,0,1,.000,0,0,,0,0,0,0,1,0,0,0,6,+3
Taurean Prince,5:39,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+1
Jordan McLaughlin,3:42,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-4
Karl-Anthony Towns,7:18,1,3,.333,0,1,.000,0,0,,0,3,3,1,0,0,1,1,2,-4
Anthony Edwards,9:12,4,8,.500,0,1,.000,1,2,.500,0,0,0,0,1,0,0,1,9,-5
Rudy Gobert,8:13,1,2,.500,0,0,,1,2,.500,1,3,4,0,0,2,0,0,3,-6
Mike Conley,5:49,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-8
Nickeil Alexander-Walker,4:49,0,2,.000,0,2,.000,1,2,.500,0,0,0,0,0,0,0,0,1,-3
Kyle Anderson,7:21,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-5
Jaylen Nowell,8:19,1,2,.500,1,1,1.000,1,2,.500,1,0,1,1,0,0,0,1,4,-6
Taurean Prince,8:59,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-3
Karl-Anthony Towns,16:45,2,8,.250,0,3,.000,0,0,,1,3,4,1,0,0,2,2,4,-7
Anthony Edwards,18:39,6,13,.462,1,2,.500,1,2,.500,0,2,2,3,1,0,0,2,14,-8
Rudy Gobert,15:48,2,3,.667,0,0,,1,2,.500,2,6,8,0,0,2,0,1,5,-12
Mike Conley,14:07,2,3,.667,1,1,1.000,0,0,,0,3,3,2,0,0,0,0,5,-7
Nickeil Alexander-Walker,13:43,1,5,.200,1,3,.333,1,2,.500,0,1,1,0,0,1,0,1,4,-7
Kyle Anderson,14:19,4,8,.500,0,2,.000,0,0,,0,1,1,0,1,0,0,0,8,-2
Jaylen Nowell,8:19,1,2,.500,1,1,1.000,1,2,.500,1,0,1,1,0,0,0,1,4,-6
Taurean Prince,14:38,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,-2
Jordan McLaughlin,3:42,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-4
Karl-Anthony Towns,7:26,0,3,.000,0,3,.000,0,2,.000,0,5,5,0,0,0,2,0,0,-8
Anthony Edwards,3:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-8
Rudy Gobert,9:55,1,2,.500,0,0,,1,2,.500,0,5,5,0,0,0,1,2,3,-16
Mike Conley,7:26,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-8
Nickeil Alexander-Walker,7:48,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-6
Kyle Anderson,8:39,1,3,.333,1,1,1.000,0,0,,0,0,0,3,1,1,0,1,3,-10
Jaylen Nowell,4:34,1,4,.250,0,1,.000,0,0,,0,0,0,1,0,0,1,0,2,-10
Taurean Prince,6:39,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-12
Austin Rivers,4:12,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,3,-12
Karl-Anthony Towns,5:23,3,4,.750,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,7,+4
Anthony Edwards,5:41,0,2,.000,0,2,.000,4,4,1.000,0,0,0,2,1,1,0,0,4,+4
Mike Conley,3:24,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-3
Nickeil Alexander-Walker,1:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+7
Kyle Anderson,2:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Jaylen Nowell,9:01,2,4,.500,2,4,.500,0,0,,0,0,0,0,0,0,0,0,6,+3
Austin Rivers,12:00,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,0,0,0
Jordan McLaughlin,6:37,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-4
Josh Minott,6:19,0,1,.000,0,1,.000,0,0,,0,0,0,0,2,1,1,1,0,-4
Nathan Knight,4:33,1,4,.250,0,2,.000,0,0,,1,0,1,0,0,0,1,0,2,-5
Wendell Moore Jr.,2:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,+1
Karl-Anthony Towns,12:49,3,7,.429,1,4,.250,0,2,.000,0,6,6,1,0,0,2,0,7,-4
Anthony Edwards,9:02,0,2,.000,0,2,.000,4,4,1.000,0,0,0,2,1,1,1,2,4,-4
Rudy Gobert,9:55,1,2,.500,0,0,,1,2,.500,0,5,5,0,0,0,1,2,3,-16
Mike Conley,10:50,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,0,3,-11
Nickeil Alexander-Walker,9:47,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+1
Kyle Anderson,11:38,1,3,.333,1,1,1.000,0,0,,0,0,0,3,1,1,0,1,3,-13
Jaylen Nowell,13:35,3,8,.375,2,5,.400,0,0,,0,0,0,1,0,0,1,0,8,-7
Taurean Prince,6:39,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-12
Austin Rivers,16:12,1,2,.500,1,2,.500,0,0,,0,3,3,0,0,0,1,0,3,-12
Jordan McLaughlin,6:37,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-4
Josh Minott,6:19,0,1,.000,0,1,.000,0,0,,0,0,0,0,2,1,1,1,0,-4
Nathan Knight,4:33,1,4,.250,0,2,.000,0,0,,1,0,1,0,0,0,1,0,2,-5
Wendell Moore Jr.,2:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,+1
Jamal Murray,33:09,9,22,.409,4,10,.400,2,2,1.000,0,8,8,8,0,1,1,3,24,+24
Kentavious Caldwell-Pope,31:23,6,11,.545,3,6,.500,0,0,,1,3,4,1,0,0,1,0,15,+21
Michael Porter Jr.,31:11,7,17,.412,4,9,.444,0,1,.000,1,10,11,2,1,0,0,1,18,+22
Nikola Jokić,28:29,6,12,.500,0,0,,1,3,.333,5,9,14,6,1,0,1,6,13,+15
Aaron Gordon,23:20,3,7,.429,2,4,.500,5,6,.833,2,3,5,1,1,0,1,3,13,+15
Bruce Brown,25:20,5,8,.625,2,4,.500,2,3,.667,0,3,3,1,0,1,1,1,14,+11
Jeff Green,22:41,0,4,.000,0,3,.000,0,0,,0,2,2,1,1,1,1,3,0,+11
Christian Braun,19:27,1,1,1.000,0,0,,1,2,.500,1,2,3,1,0,1,0,0,3,+12
DeAndre Jordan,5:56,2,3,.667,0,0,,0,0,,0,0,0,1,0,0,2,2,4,+7
Zeke Nnaji,4:15,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,1,0,5,+2
Reggie Jackson,4:15,0,0,,0,0,,0,0,,0,0,0,1,1,0,1,0,0,+2
Ish Smith,4:15,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+2
Peyton Watson,4:15,0,1,.000,0,1,.000,0,0,,1,0,1,1,0,0,0,0,0,+2
Vlatko Čančar,2:04,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1
Jamal Murray,8:28,0,4,.000,0,2,.000,2,2,1.000,0,3,3,1,0,1,0,1,2,+6
Kentavious Caldwell-Pope,9:27,2,2,1.000,1,1,1.000,0,0,,1,2,3,0,0,0,0,0,5,+3
Michael Porter Jr.,9:27,1,5,.200,1,4,.250,0,0,,0,2,2,1,0,0,0,1,3,+3
Nikola Jokić,9:27,3,5,.600,0,0,,1,1,1.000,2,3,5,3,0,0,1,0,7,+3
Aaron Gordon,8:20,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,1,1,5,+4
Bruce Brown,6:05,2,2,1.000,0,0,,0,1,.000,0,0,0,0,0,0,1,1,4,-3
Jeff Green,5:39,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
Christian Braun,2:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
DeAndre Jordan,0:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jamal Murray,8:13,3,6,.500,1,1,1.000,0,0,,0,1,1,3,0,0,0,1,7,+6
Kentavious Caldwell-Pope,8:29,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,1,0,3,+6
Michael Porter Jr.,9:12,3,6,.500,0,1,.000,0,0,,1,3,4,0,0,0,0,0,6,+5
Nikola Jokić,10:27,3,5,.600,0,0,,0,2,.000,1,4,5,2,0,0,0,2,6,+9
Aaron Gordon,1:33,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1
Bruce Brown,7:18,2,4,.500,1,2,.500,2,2,1.000,0,2,2,0,0,1,0,0,7,+4
Jeff Green,7:18,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,2,0,+4
Christian Braun,7:30,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,+7
Jamal Murray,16:41,3,10,.300,1,3,.333,2,2,1.000,0,4,4,4,0,1,0,2,9,+12
Kentavious Caldwell-Pope,17:56,3,4,.750,2,3,.667,0,0,,1,2,3,1,0,0,1,0,8,+9
Michael Porter Jr.,18:39,4,11,.364,1,5,.200,0,0,,1,5,6,1,0,0,0,1,9,+8
Nikola Jokić,19:54,6,10,.600,0,0,,1,3,.333,3,7,10,5,0,0,1,2,13,+12
Aaron Gordon,9:53,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,1,0,1,3,5,+3
Bruce Brown,13:23,4,6,.667,1,2,.500,2,3,.667,0,2,2,0,0,1,1,1,11,+1
Jeff Green,12:57,0,3,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,2,0,+3
Christian Braun,10:03,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,+7
DeAndre Jordan,0:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jamal Murray,8:56,2,7,.286,1,4,.250,0,0,,0,3,3,3,0,0,0,1,5,+12
Kentavious Caldwell-Pope,10:52,3,6,.500,1,3,.333,0,0,,0,1,1,0,0,0,0,0,7,+12
Michael Porter Jr.,9:57,2,4,.500,2,3,.667,0,1,.000,0,3,3,1,1,0,0,0,6,+14
Nikola Jokić,7:26,0,2,.000,0,0,,0,0,,2,2,4,1,1,0,0,2,0,+8
Aaron Gordon,10:52,1,4,.250,1,3,.333,5,6,.833,2,1,3,0,0,0,0,0,8,+12
Bruce Brown,4:12,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,+12
Jeff Green,4:34,0,0,,0,0,,0,0,,0,1,1,0,1,1,1,0,0,+10
Christian Braun,2:03,0,0,,0,0,,1,2,.500,1,0,1,1,0,0,0,0,1,+4
DeAndre Jordan,1:08,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+6
Jamal Murray,7:32,4,5,.800,2,3,.667,0,0,,0,1,1,1,0,0,1,0,10,0
Kentavious Caldwell-Pope,2:35,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Michael Porter Jr.,2:35,1,2,.500,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,3,0
Nikola Jokić,1:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-5
Aaron Gordon,2:35,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0
Bruce Brown,7:45,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2
Jeff Green,5:10,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-2
Christian Braun,7:21,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+1
DeAndre Jordan,4:14,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,2,2,2,+1
Zeke Nnaji,4:15,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,1,0,5,+2
Reggie Jackson,4:15,0,0,,0,0,,0,0,,0,0,0,1,1,0,1,0,0,+2
Ish Smith,4:15,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+2
Peyton Watson,4:15,0,1,.000,0,1,.000,0,0,,1,0,1,1,0,0,0,0,0,+2
Vlatko Čančar,2:04,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1
Jamal Murray,16:28,6,12,.500,3,7,.429,0,0,,0,4,4,4,0,0,1,1,15,+12
Kentavious Caldwell-Pope,13:27,3,7,.429,1,3,.333,0,0,,0,1,1,0,0,0,0,0,7,+12
Michael Porter Jr.,12:32,3,6,.500,3,4,.750,0,1,.000,0,5,5,1,1,0,0,0,9,+14
Nikola Jokić,8:35,0,2,.000,0,0,,0,0,,2,2,4,1,1,0,0,4,0,+3
Aaron Gordon,13:27,1,5,.200,1,3,.333,5,6,.833,2,1,3,1,0,0,0,0,8,+12
Bruce Brown,11:57,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,0,3,+10
Jeff Green,9:44,0,1,.000,0,1,.000,0,0,,0,2,2,0,1,1,1,1,0,+8
Christian Braun,9:24,1,1,1.000,0,0,,1,2,.500,1,1,2,1,0,0,0,0,3,+5
DeAndre Jordan,5:22,2,3,.667,0,0,,0,0,,0,0,0,1,0,0,2,2,4,+7
Zeke Nnaji,4:15,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,1,0,5,+2
Reggie Jackson,4:15,0,0,,0,0,,0,0,,0,0,0,1,1,0,1,0,0,+2
Ish Smith,4:15,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+2
Peyton Watson,4:15,0,1,.000,0,1,.000,0,0,,1,0,1,1,0,0,0,0,0,+2
Vlatko Čančar,2:04,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1
